die braune ente ruhte nahe dem schnellen stall	the brown duck rested near the quick stable
eine schnelle henne ging unter dem pinken turm	a quick hen walked under the pink tower
die graue henne zwitscherte jenseits eines pinken palasts	the gray hen chirped beyond a pink palace
eine gruene eule schlief entlang einem grauen garten	a green owl slept across a gray garden
der schnelle fuchs sprang hinter der gruenen bank	the quick fox jumped behind the green bench
ein schwarzer frosch ruhte unter einem gruenen stall	a black frog rested under a green stable
der gelbe fuchs rannte unter einer pinken hoehle	the yellow fox ran under a pink cave
die blaue ente quakte innerhalb einer grossen scheune	the blue duck quacked within a large barn
eine graue ratte rannte neben einem schwarzen stall	a gray rat ran beside a black stable
der blaue frosch ruhte innerhalb einer blauen bank	the blue frog rested within a blue bench
ein schneller hund rannte um den grauen garten	a quick dog ran around the gray garden
die pinke ente schlief in der grauen hoehle	the pink duck slept inside the gray cave
ein gruener fuchs jagte unter der roten wiese	a green fox hunted under the red meadow
die kleine kuh schlief um den gelben fluss	the small cow slept around the yellow river
ein rotes schaf schlief jenseits des schnellen gartens	a red sheep slept beyond the quick garden
der gelbe hund ging ueber dem schwarzen garten	the yellow dog walked over the black garden
ein gruener hund rannte unter einem grossen turm	a green dog ran under a large tower
eine rote kuh graste ueber einem pinken garten	a red cow grazed over a pink garden
der rote frosch schlief um einen gruenen stall	the red frog slept around a green stable
eine pinke eule zwitscherte durch einen weissen wald	a pink owl chirped through a white forest
das graue schaf rannte hinter einer weissen scheune	the gray sheep ran behind a white barn
die schwarze kuh ruhte nahe dem blauen see	the black cow rested near the blue lake
die schwarze ziege kletterte entlang dem schnellen stall	the black goat climbed across the quick stable
die weisse kuh ging durch einen roten garten	the white cow walked through a red garden
eine graue eule ruhte nahe der schnellen hoehle	a gray owl rested near the quick cave
ein schwarzes schaf graste innerhalb der grauen bruecke	a black sheep grazed within the gray bridge
das grosse schaf graste ueber dem grauen palast	the large sheep grazed over the gray palace
ein schwarzer fuchs sprang innerhalb der pinken wiese	a black fox jumped within the pink meadow
ein grosser hund jagte entlang einer grossen hoehle	a large dog hunted across a large cave
eine schwarze katze sprang neben dem kleinen stall	a black cat jumped beside the small stable
die kleine eule zwitscherte in dem kleinen see	the small owl chirped inside the small lake
ein grauer frosch schwamm innerhalb des grauen stalls	a gray frog swam within the gray stable
der gelbe hund rannte unter dem grauen wald	the yellow dog ran under the gray forest
